,dataset1,architecture1,seed1,step1,layer1,dataset2,architecture2,seed2,step2,layer2,PWCCA,mean_sq_cca_corr,mean_cca_corr,CKA,Procrustes,PredDist_0,PredDist_1e-07,PredDist_1e-06,PredDist_1e-05,PredDist_0.0001,PredDist_0.001,PredDist_0.01,PredDist_0.1,PredDist_1,PredDist_10.0,PredDist_100.0,PredDist_1000.0,QNLI_diff,SST-2_diff
6969,mnli_matched_100,base,9,2000000,0,mnli_matched_100,base,9,2000000,9,0.2980004704415641,0.5746417752033928,0.4222347575861253,0.3619268049860593,0.600213565645495,882.6464165079291,879.9791434926142,869.0565458402422,785.0252375508592,484.1380145965959,132.56743237223273,12.112903643619678,0.4514520520667771,0.0070431872448268,7.489447921446964e-05,7.537507382755152e-07,7.542350301241093e-09,0.14271767649032896,0.2610856269113151
6970,mnli_matched_100,base,9,2000000,0,mnli_matched_100,base,9,2000000,10,0.3159308679762758,0.5927808359978384,0.4360081146418757,0.3955093213296446,0.6427504059976568,910.510657069084,907.8593288019306,896.9579252184749,812.9452796678402,507.6482779615884,140.69013378916856,13.108943064865676,0.4925006522862644,0.0075976097273434,8.057678212842817e-05,8.107013037060973e-07,8.111982191260717e-09,0.18024284581121486,0.25344036697247707
6971,mnli_matched_100,base,9,2000000,0,mnli_matched_100,base,9,2000000,11,0.3276970578244047,0.6037605089221669,0.4442308930949568,0.3695338020787232,0.6486942600713244,927.3747642884272,924.709700502636,913.7893797964496,829.5169160296105,520.6289358987269,144.60450499926176,13.367111117233035,0.4685424924029453,0.0069383069131205,7.312658085788892e-05,7.352584394381402e-07,7.356603589767328e-09,0.18164622612728043,0.2817278287461774
6972,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,1,3.990055509328627e-07,1.693451813589153e-05,8.495100974337255e-06,0.0,6.661338147750939e-16,0.0283340137518735,1.5916157281026244e-12,9.094947017729282e-13,9.094947017729282e-13,-1.1368683772161605e-13,0.0,-1.4210854715202004e-14,-8.881784197001252e-16,-1.7347234759768068e-17,-1.3552527156068805e-19,-2.117582368135751e-21,-1.9852334701272664e-23,0.0,0.0
6973,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,2,0.0507889210278867,0.192111215622909,0.1190311998984592,0.0336074770992285,0.0811849791139944,295.08444900798986,292.4266068197985,284.8553714656616,230.2571689617082,98.09694127017268,20.284761956664116,1.6907640376360256,0.0487162679062134,0.0006922587125917,7.288237543677344e-06,7.327778952184853e-08,7.331765372821673e-10,0.016169381902495727,0.008027522935779907
6974,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,3,0.0962015086451033,0.2996450388269164,0.1991878964857893,0.073408906582069,0.1633148307945193,460.2540920795505,457.47188753145,447.8201015259988,375.68608762764416,177.43972930655875,39.62853611070719,3.3960555124337546,0.1021213814247776,0.0015211527449167,1.617154460114114e-05,1.627667163218119e-07,1.6287284407239711e-09,0.023247300018305106,0.06460244648318048
6975,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,4,0.1328115100841099,0.3650023281807038,0.2510564954741344,0.1250448259142252,0.2320184895559318,560.6425243575317,557.8139967526115,547.3348284032459,467.7672120239357,234.26708558910275,54.33538696653284,4.7537238050448565,0.1646151077973843,0.002604348856339,2.791205600599877e-05,2.811724238161793e-07,2.813796273224578e-09,0.004027091341753719,0.04969418960244654
6976,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,5,0.165598931567336,0.4153432011728529,0.2916479570557765,0.1660002457737559,0.2943761817148498,637.9705487432639,635.1970212842199,624.5529663566721,542.7260097749926,287.0381004038343,68.81022888695594,5.9797219457932265,0.2129731465319937,0.0032097764076004,3.389932387353798e-05,3.409149398860825e-07,3.4110839060471822e-09,0.08572823235096727,0.13532110091743133
6977,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,6,0.1986496414809209,0.4619292669507906,0.3299729794454572,0.2106525683948669,0.364749572793281,709.5225827753209,706.8117874507134,696.2307368605925,614.1598272182185,342.5048496590217,84.77802248015757,7.328817030109402,0.261228207081759,0.0039273729769761,4.147042770367559e-05,4.170490307139287e-07,4.1728508684327985e-09,0.08621636463481619,0.19610091743119273
6978,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,7,0.2284203735244805,0.5001088657760664,0.3608261662936278,0.2359820623385738,0.4263259739048799,768.1644894244682,765.4742521521521,754.9062473808345,672.4718518640493,388.6337067280601,98.76664212866962,8.563962088894723,0.2986504117418204,0.0044393416890169,4.6808403074310816e-05,4.706599579452715e-07,4.709192675626673e-09,0.08206724022210032,0.2159785932721714
